theme_group,theme,path,indicator_key,name,full_name,unit,n_years,first_year,last_year,n_regions,max_region_level,completeness,score
employment_living_conditions,Ménages et conditions de vie,Ménages et conditions de vie > Ménages et conditions de vie > Indicateurs d'infrastructure > Taux de branchement en courant électrique (%),27329416,Taux de branchement en courant électrique (%),Taux de raccordement des logements aux réseaux d'électricité,Pourcentage,21,1994,2014,1,national,1.0,0.487
employment_living_conditions,Ménages et conditions de vie,Ménages et conditions de vie > Ménages et conditions de vie > Indicateurs d'infrastructure > Taux de branchement en eau potable (%),27329516,Taux de branchement en eau potable (%),Taux de raccordement des logements aux réseaux d'eau potable,Pourcentage,21,1994,2014,1,national,1.0,0.487
employment_living_conditions,Ménages et conditions de vie,Ménages et conditions de vie > Ménages et conditions de vie > Indicateurs d'infrastructure > Taux de desserte en eau potable (%),27329616,Taux de desserte en eau potable (%),Taux de desserte en eau potable,Pourcentage,21,1994,2014,1,national,1.0,0.487
employment_living_conditions,Ménages et conditions de vie,Ménages et conditions de vie > Ménages et conditions de vie > Données générales > Nombre de ménages ( en milliers ),27327016,Nombre de ménages ( en milliers ),Nombre de ménages (en milliers),Nombre,17,1984,2014,1,national,1.0,0.452
employment_living_conditions,Ménages et conditions de vie,Ménages et conditions de vie > Ménages et conditions de vie > Indicateurs d'infrastructure > Taux de branchement des ménages au réseau d'assainissement ( milieu communal) (%),27329716,Taux de branchement des ménages au réseau d'assainissement ( milieu communal) (%),Taux de raccordement des logements au réseau d'assainissement ( milieu communal) (%),,15,1994,2014,1,national,1.0,0.4345
employment_living_conditions,Ménages et conditions de vie,Ménages et conditions de vie > Ménages et conditions de vie > Données générales > Nombre moyen de personnes par ménage,27327116,Nombre moyen de personnes par ménage,Nombre moyen de personnes par ménage,Pourcentage,16,1984,2011,1,national,1.0,0.419
employment_living_conditions,Ménages et conditions de vie,Ménages et conditions de vie > Ménages et conditions de vie > Données générales > Pourcentage des ménages ayant le téléphone fixe (%),27327316,Pourcentage des ménages ayant le téléphone fixe (%),Proportion de ménages possédant un téléphone fixe,Pourcentage,16,1984,2011,1,national,1.0,0.419
employment_living_conditions,Ménages et conditions de vie,Ménages et conditions de vie > Ménages et conditions de vie > Données générales > Pourcentage des ménages ayant un téléviseur ( %),27327416,Pourcentage des ménages ayant un téléviseur ( %),Proportion de ménages possédant une télévision,Pourcentage,16,1984,2011,1,national,1.0,0.419
employment_living_conditions,Ménages et conditions de vie,Ménages et conditions de vie > Ménages et conditions de vie > Données générales > Part des ménages ayant une voiture (%),27327216,Part des ménages ayant une voiture (%),Proportion de ménages possédant une voiture,Pourcentage,15,1984,2010,1,national,1.0,0.4022
employment_living_conditions,Ménages et conditions de vie,Ménages et conditions de vie > Parc de Logement > Données générales > Nombre de logements ( en milliers ),27326216,Nombre de logements ( en milliers ),Nombre de logements en milliers,Nombre,7,1984,2014,1,national,1.0,0.3645
